zone,mean,max,min,sum,std,var,count,zone_type,zone_label
2.0,22.358715057373047,47.85714340209961,2.142857074737549,30452.5703125,10.41640567779541,108.50151062011719,1362.0,Elevation,813–913 m
3.0,20.035884857177734,83.14286041259766,2.142857074737549,33820.57421875,11.774821281433105,138.64642333984375,1688.0,Elevation,913–1013 m
4.0,29.759634017944336,108.71428680419922,2.142857074737549,67405.5703125,23.644996643066406,559.0858764648438,2265.0,Elevation,1013–1113 m
5.0,43.36228942871094,115.42857360839844,0.0,148038.859375,26.72096824645996,714.0101318359375,3414.0,Elevation,1113–1213 m
6.0,49.63965606689453,141.7142791748047,2.142857074737549,184907.71875,26.064857482910156,679.3767700195312,3725.0,Elevation,1213–1313 m
7.0,61.12567901611328,161.7142791748047,3.2857143878936768,241507.5625,32.07495880126953,1028.8031005859375,3951.0,Elevation,1313–1413 m
8.0,89.35182189941406,169.14285278320312,5.4285712242126465,474815.59375,44.85493469238281,2011.96533203125,5314.0,Elevation,1413–1513 m
9.0,118.37238311767578,194.14285278320312,7.142857074737549,1073282.375,41.756141662597656,1743.5753173828125,9067.0,Elevation,1513–1613 m
10.0,124.1620864868164,196.7142791748047,8.714285850524902,1298238.75,38.5256462097168,1484.225341796875,10456.0,Elevation,1613–1713 m
11.0,134.49032592773438,206.0,6.0,1636881.75,37.407413482666016,1399.3145751953125,12171.0,Elevation,1713–1813 m
12.0,152.5855255126953,212.57142639160156,20.14285659790039,2536887.0,33.73648452758789,1138.150390625,16626.0,Elevation,1813–1913 m
13.0,164.2351837158203,216.42857360839844,15.857142448425293,3271729.0,28.182687759399414,794.263916015625,19921.0,Elevation,1913–2013 m
14.0,173.60658264160156,304.1428527832031,15.428571701049805,4138954.5,22.359329223632812,499.9396057128906,23841.0,Elevation,2013–2113 m
15.0,182.72561645507812,310.1428527832031,27.428571701049805,4847710.5,20.766008377075195,431.22711181640625,26530.0,Elevation,2113–2213 m
16.0,190.19052124023438,278.28570556640625,35.28571319580078,5056785.5,19.698841094970703,388.0443420410156,26588.0,Elevation,2213–2313 m
17.0,200.4890899658203,296.8571472167969,37.57143020629883,5844658.0,20.597043991088867,424.23822021484375,29152.0,Elevation,2313–2413 m
18.0,209.95159912109375,336.71429443359375,45.85714340209961,5739447.0,25.089542388916016,629.485107421875,27337.0,Elevation,2413–2513 m
19.0,221.50796508789062,353.71429443359375,45.28571319580078,5535705.5,26.873882293701172,722.2055053710938,24991.0,Elevation,2513–2613 m
20.0,228.3873748779297,358.28570556640625,27.85714340209961,3398861.0,36.60915756225586,1340.2303466796875,14882.0,Elevation,2613–2713 m
21.0,232.21739196777344,357.1428527832031,12.285714149475098,2154513.0,42.30662155151367,1789.850341796875,9278.0,Elevation,2713–2813 m
22.0,242.0061492919922,362.1428527832031,10.142857551574707,1511086.375,55.23025894165039,3050.381591796875,6244.0,Elevation,2813–2913 m
23.0,246.48992919921875,360.28570556640625,13.714285850524902,1200159.5,65.4697036743164,4286.2822265625,4869.0,Elevation,2913–3013 m
24.0,250.38037109375,356.5714416503906,27.571428298950195,506018.71875,69.19505310058594,4787.955078125,2021.0,Elevation,3013–3113 m
25.0,310.45751953125,356.71429443359375,48.71428680419922,222287.578125,67.68160247802734,4580.7998046875,716.0,Elevation,3113–3213 m
26.0,330.065185546875,358.8571472167969,45.42856979370117,180875.71875,58.54378890991211,3427.375,548.0,Elevation,3213–3313 m
27.0,311.0944519042969,362.4285583496094,72.28571319580078,111060.71875,73.94406127929688,5467.72412109375,357.0,Elevation,3313–3413 m
28.0,192.70941162109375,352.5714416503906,45.0,16958.427734375,79.31587219238281,6291.00732421875,88.0,Elevation,3413–3513 m
29.0,179.15646362304688,251.42857360839844,73.57142639160156,3762.28564453125,52.671966552734375,2774.3359375,21.0,Elevation,3513–3613 m
1.0,177.70668029785156,362.4285583496094,5.4285712242126465,7833132.5,60.849544525146484,3702.667236328125,44079.0,Aspect,N
2.0,175.17062377929688,362.4285583496094,4.714285850524902,9244279.0,54.07669448852539,2924.2890625,52773.0,Aspect,NE
3.0,177.38067626953125,360.28570556640625,2.142857074737549,7312163.5,61.7982292175293,3819.02099609375,41223.0,Aspect,E
4.0,180.40878295898438,356.4285583496094,6.857142925262451,3969354.0,60.17253875732422,3620.734375,22002.0,Aspect,SE
5.0,192.06005859375,353.5714416503906,23.571428298950195,2918928.75,39.32859802246094,1546.7386474609375,15198.0,Aspect,S
6.0,189.87271118164062,346.5714416503906,6.857142925262451,5615105.5,38.41259002685547,1475.527099609375,29573.0,Aspect,SW
7.0,175.43832397460938,359.28570556640625,0.0,6891568.5,54.682960510253906,2990.22607421875,39282.0,Aspect,W
8.0,175.26084899902344,362.4285583496094,0.0,6941381.0,71.63219451904297,5131.1708984375,39606.0,Aspect,NW
1.0,183.78265380859375,362.4285583496094,0.0,27102980.0,58.91043472290039,3470.439453125,147473.0,Curvature,concave
2.0,186.4827880859375,358.8571472167969,2.142857074737549,1948558.625,58.818115234375,3459.57080078125,10449.0,Curvature,planar
3.0,172.471435546875,362.4285583496094,0.0,21911806.0,56.11468505859375,3148.85791015625,127046.0,Curvature,convex
1.0,185.80467224121094,342.5714416503906,6.857142925262451,996470.4375,60.7784423828125,3694.019287109375,5363.0,Slope,0–5°
2.0,204.91505432128906,357.1428527832031,6.857142925262451,2803852.75,40.02226638793945,1601.78173828125,13683.0,Slope,5–10°
3.0,202.71737670898438,358.8571472167969,6.857142925262451,4950561.0,40.54906463623047,1644.2265625,24421.0,Slope,10–15°
4.0,197.22848510742188,362.4285583496094,6.0,6524515.5,44.792808532714844,2006.3956298828125,33081.0,Slope,15–20°
5.0,193.00341796875,362.4285583496094,2.142857074737549,7986095.5,49.5504264831543,2455.24462890625,41378.0,Slope,20–25°
6.0,183.8672637939453,362.4285583496094,4.714285850524902,8326061.0,55.64787673950195,3096.68603515625,45283.0,Slope,25–30°
7.0,171.03817749023438,362.4285583496094,0.0,7433832.0,59.65570068359375,3558.802734375,43463.0,Slope,30–35°
8.0,154.92025756835938,358.8571472167969,0.0,4880298.0,64.0206298828125,4098.640625,31502.0,Slope,35–40°
9.0,158.0835723876953,358.8571472167969,2.142857074737549,3068402.25,61.055419921875,3727.76416015625,19410.0,Slope,40–45°
10.0,156.0318145751953,359.28570556640625,2.142857074737549,1946028.75,59.353519439697266,3522.84033203125,12472.0,Slope,45–50°
11.0,144.4881134033203,349.71429443359375,2.142857074737549,958389.6875,61.302852630615234,3758.03955078125,6633.0,Slope,50–55°
12.0,132.513916015625,345.4285583496094,2.142857074737549,477845.15625,62.64744567871094,3924.702392578125,3606.0,Slope,55–60°
13.0,115.39912414550781,313.71429443359375,5.4285712242126465,437362.6875,56.0958366394043,3146.742919921875,3790.0,Slope,>60°
